value,mean_perf
6.0,0.6343
19.0,0.6876
31.5,0.6858
44.0,0.6544
56.5,0.6771
69.0,0.6489
81.5,0.7182
94.0,0.6607
107.3,0.6868
118.33333333333333,0.6753
130.75,0.5937
144.16666666666666,0.3874
154.83333333333334,0.7971
169.66666666666666,0.6935
180.33333333333334,0.4689
193.5,0.6173
206.75,0.5192
222.0,0.6561
234.5,0.4467
248.0,0.7544
261.0,0.4590
268.5,0.3502
293.5,0.8806
309.0,0.6092
314.0,1.0000
338.0,0.7507
360.0,0.4845
371.0,0.6097
419.5,0.9509
476.0,0.2222
511.0,0.5913
564.0,0.3504
590.0,0.7592
601.0,0.1127
619.0,0.5586
687.0,0.5261
755.0,0.9607
1037.0,0.5984
1191.0,0.1591
