value,mean_perf
0.0,0.4966
1.0,0.6756
2.0,0.6737
3.0,0.7001
4.0,0.7174
5.0,0.7175
6.0,0.6850
7.0,0.7178
8.0,0.6613
9.0,0.6587
10.0,0.6861
11.0,0.6813
12.0,0.7043
13.0,0.6524
14.0,0.6405
15.0,0.6495
16.0,0.6414
17.0,0.7508
18.0,0.7425
19.0,0.7162
20.0,0.6376
21.0,0.8425
22.0,0.7854
23.0,0.6556
24.0,0.6395
25.0,0.7489
26.0,0.7750
27.0,0.7177
28.0,0.7000
29.0,0.6578
30.0,0.8106
31.0,0.7185
32.0,0.6405
33.0,0.9251
34.0,0.7263
35.0,0.7879
36.0,0.8325
37.0,0.7308
38.0,0.5881
39.0,0.6836
40.0,0.5599
41.0,0.4920
42.0,0.8315
43.0,0.7269
44.0,0.7560
45.0,0.5098
46.0,0.8401
47.0,0.6120
48.0,0.6618
49.0,0.7527
50.0,0.4930
51.0,0.7825
52.0,0.6374
53.0,0.6779
54.0,0.6984
55.0,0.4706
56.0,0.6822
57.0,0.5208
58.0,0.6562
59.0,0.8832
60.0,0.9545
61.0,0.6519
62.0,0.6037
63.0,0.4899
64.0,0.7968
65.0,0.6256
66.0,0.8361
67.0,0.9009
68.0,0.7269
69.0,0.9464
70.0,0.5697
71.0,0.3657
72.0,0.6814
73.0,0.5909
74.0,0.7321
75.0,0.8310
77.0,0.6512
78.0,0.6360
79.0,0.8161
80.0,0.2932
81.0,0.5397
82.0,0.7660
83.0,0.7121
84.0,1.0000
85.0,0.6340
86.0,0.7241
87.0,0.6912
88.0,0.9704
90.0,0.6500
91.0,0.4633
93.0,0.9167
95.0,0.9500
97.0,0.7153
98.0,0.4667
99.0,0.8333
100.0,0.4691
101.0,0.8333
103.0,0.8670
104.0,0.7647
105.0,0.4028
106.0,0.9658
107.0,0.7320
108.0,0.4343
109.0,0.4048
110.0,0.5868
111.0,0.5315
112.0,0.8788
113.0,0.7931
115.0,0.7477
117.0,0.7867
118.0,0.5587
119.0,0.6714
121.0,0.4286
123.0,0.7576
124.0,0.7549
126.0,0.9885
128.0,0.9192
129.0,0.4667
136.0,0.4938
138.0,0.3091
139.0,0.7500
143.0,0.9101
148.0,0.9778
149.0,1.0000
150.0,0.3019
151.0,0.4928
152.0,0.8503
156.0,0.7184
161.0,0.8296
164.0,1.0000
168.0,0.3509
169.0,0.7258
191.0,0.4118
196.0,0.4242
198.0,0.9949
215.0,0.7537
222.0,0.4155
238.0,0.6561
246.0,0.9708
253.0,0.6284
262.0,1.0000
273.0,0.2788
289.0,0.2984
312.0,0.4137
332.0,1.0000
333.0,1.0000
490.0,0.6709
538.0,0.6085
1043.0,0.3628
