value,mean_perf
0.0,0.8682
1.0,0.4528
2.0,0.4712
3.0,0.5275
4.0,0.4806
5.0,0.5943
6.0,0.5998
7.0,0.5745
8.0,0.5768
9.0,0.6512
10.0,0.6398
11.0,0.5686
12.0,0.5768
13.0,0.6426
14.0,0.6948
15.0,0.6821
16.0,0.6601
17.0,0.6317
18.0,0.7042
19.0,0.6733
20.0,0.5608
21.0,0.6497
22.0,0.6320
23.0,0.7821
24.0,0.6419
25.0,0.6347
26.0,0.6091
27.0,0.6413
28.0,0.6599
29.0,0.6639
30.0,0.7087
31.0,0.7403
32.0,0.7131
33.0,0.7599
34.0,0.7256
35.0,0.6221
36.0,0.6272
37.0,0.6959
38.0,0.6498
39.0,0.5594
40.0,0.7429
41.0,0.6393
42.0,0.5833
43.0,0.7725
44.0,0.6912
45.0,0.6842
46.0,0.6218
47.0,0.6806
48.0,0.5569
49.0,0.8819
50.0,0.6823
51.0,0.7701
52.0,0.6008
53.0,0.7692
54.0,0.6800
55.0,0.1447
56.0,0.7097
57.0,0.7415
58.0,0.6010
59.0,0.8485
60.0,0.6429
61.0,0.6914
62.0,1.0000
63.0,0.8201
64.0,0.8583
65.0,0.7778
66.0,0.4615
67.0,0.7381
68.0,0.8333
69.0,0.4058
70.0,0.8000
71.0,0.9556
72.0,0.7719
73.0,0.7711
74.0,0.6122
75.0,0.6218
76.0,0.7960
77.0,0.8828
78.0,0.7000
79.0,0.9333
81.0,0.6190
82.0,0.8667
83.0,0.8652
84.0,0.8130
85.0,0.9667
87.0,1.0000
89.0,0.9167
90.0,0.8333
91.0,0.8718
92.0,0.8462
94.0,1.0000
97.0,0.7500
100.0,0.7374
102.0,0.8571
105.0,0.8750
107.0,0.6667
109.0,1.0000
114.0,1.0000
119.0,0.8704
124.0,0.0000
125.0,0.4722
134.0,1.0000
138.0,0.7067
139.0,0.6410
